Yo: haría, Tú: harías, Él/Ella: haría, Nosotros: haríamos, Vosotros: haríais, Ellos/Ellas: harían	faire
Yo: seguiría, Tú: seguirías, Él/Ella: seguiría, Nosotros: seguiríamos, Vosotros: seguiríais, Ellos/Ellas: seguirían	suivre
Yo: subiría, Tú: subirías, Él/Ella: subiría, Nosotros: subiríamos, Vosotros: subiríais, Ellos/Ellas: subirían	monter
Yo: bajaría, Tú: bajarías, Él/Ella: bajaría, Nosotros: bajaríamos, Vosotros: bajaríais, Ellos/Ellas: bajarían	descendre
Yo: quitaría, Tú: quitarías, Él/Ella: quitaría, Nosotros: quitaríamos, Vosotros: quitaríais, Ellos/Ellas: quitarían	enlever
Yo: empezaría, Tú: empezarías, Él/Ella: empezaría, Nosotros: empezaríamos, Vosotros: empezaríais, Ellos/Ellas: empezarían	commencer
Yo: acabaría, Tú: acabarías, Él/Ella: acabaría, Nosotros: acabaríamos, Vosotros: acabaríais, Ellos/Ellas: acabarían	finir
Yo: buscaría, Tú: buscarías, Él/Ella: buscaría, Nosotros: buscaríamos, Vosotros: buscaríais, Ellos/Ellas: buscarían	chercher
Yo: esperaría, Tú: esperarías, Él/Ella: esperaría, Nosotros: esperaríamos, Vosotros: esperaríais, Ellos/Ellas: esperarían	attendre
Yo: recordaría, Tú: recordarías, Él/Ella: recordaría, Nosotros: recordaríamos, Vosotros: recordaríais, Ellos/Ellas: recordarían	se souvenir
Yo: olvidaría, Tú: olvidarías, Él/Ella: olvidaría, Nosotros: olvidaríamos, Vosotros: olvidaríais, Ellos/Ellas: olvidarían	oublier
Yo: traería, Tú: traerías, Él/Ella: traería, Nosotros: traeríamos, Vosotros: traeríais, Ellos/Ellas: traerían	apporter
Yo: leería, Tú: leerías, Él/Ella: leería, Nosotros: leeríamos, Vosotros: leeríais, Ellos/Ellas: leerían	lire
Yo: contaría, Tú: contarías, Él/Ella: contaría, Nosotros: contaríamos, Vosotros: contaríais, Ellos/Ellas: contarían	raconter
Yo: cambiaría, Tú: cambiarías, Él/Ella: cambiaría, Nosotros: cambiaríamos, Vosotros: cambiaríais, Ellos/Ellas: cambiarían	changer
Yo: dormiría, Tú: dormirías, Él/Ella: dormiría, Nosotros: dormiríamos, Vosotros: dormiríais, Ellos/Ellas: dormirían	dormir
Yo: despertaría, Tú: despertarías, Él/Ella: despertaría, Nosotros: despertaríamos, Vosotros: despertaríais, Ellos/Ellas: despertarían	réveiller
Yo: correría, Tú: correrías, Él/Ella: correría, Nosotros: correríamos, Vosotros: correríais, Ellos/Ellas: correrían	courir
Yo: jugaría, Tú: jugarías, Él/Ella: jugaría, Nosotros: jugaríamos, Vosotros: jugaríais, Ellos/Ellas: jugarían	jouer
Yo: ganaría, Tú: ganarías, Él/Ella: ganaría, Nosotros: ganaríamos, Vosotros: ganaríais, Ellos/Ellas: ganarían	gagner
Yo: perdería, Tú: perderías, Él/Ella: perdería, Nosotros: perderíamos, Vosotros: perderíais, Ellos/Ellas: perderían	perdre
Yo: pagaría, Tú: pagarías, Él/Ella: pagaría, Nosotros: pagaríamos, Vosotros: pagaríais, Ellos/Ellas: pagarían	payer
Yo: recibiría, Tú: recibirías, Él/Ella: recibiría, Nosotros: recibiríamos, Vosotros: recibiríais, Ellos/Ellas: recibirían	recevoir
Yo: moriría, Tú: morirías, Él/Ella: moriría, Nosotros: moriríamos, Vosotros: moriríais, Ellos/Ellas: morirían	mourir
Yo: nacería, Tú: nacerías, Él/Ella: nacería, Nosotros: naceríamos, Vosotros: naceríais, Ellos/Ellas: nacerían	naître
Yo: aprendería, Tú: aprenderías, Él/Ella: aprendería, Nosotros: aprenderíamos, Vosotros: aprenderíais, Ellos/Ellas: aprenderían	apprendre
Yo: enseñaría, Tú: enseñarías, Él/Ella: enseñaría, Nosotros: enseñaríamos, Vosotros: enseñaríais, Ellos/Ellas: enseñarían	enseigner
Yo: ayudaría, Tú: ayudarías, Él/Ella: ayudaría, Nosotros: ayudaríamos, Vosotros: ayudaríais, Ellos/Ellas: ayudarían	aider
Yo: serviría, Tú: servirías, Él/Ella: serviría, Nosotros: serviríamos, Vosotros: serviríais, Ellos/Ellas: servirían	servir
Yo: usaría, Tú: usarías, Él/Ella: usaría, Nosotros: usaríamos, Vosotros: usaríais, Ellos/Ellas: usarían	utiliser
Yo: necesitaría, Tú: necesitarías, Él/Ella: necesitaría, Nosotros: necesitaríamos, Vosotros: necesitaríais, Ellos/Ellas: necesitarían	avoir besoin
Yo: gustaría, Tú: gustarías, Él/Ella: gustaría, Nosotros: gustaríamos, Vosotros: gustaríais, Ellos/Ellas: gustarían	plaire
